variant,drug,R2,RMSE
A1_PBPK_only,theophylline,0.833362991876562,0.8611678258867771
A2_GNN_only,theophylline,0.7864261571759765,0.9749359770540512
A5_Full_DLPBPK,theophylline,0.8273736523931894,0.8765074402887424
A3_hybrid_no_transfer,theophylline,0.7998110344166808,0.9438916444778442
A4_hybrid_encoder_frozen,theophylline,0.8385979950445988,0.8475328087806702
A1_PBPK_only,warfarin,0.7762281019436289,0.1193915345893949
A2_GNN_only,warfarin,0.8189315609588271,0.1073969976127184
A5_Full_DLPBPK,warfarin,0.7811126975493047,0.1180812783363307
A3_hybrid_no_transfer,warfarin,0.686710352244255,0.14126800000667572
A4_hybrid_encoder_frozen,warfarin,0.7867204865797794,0.11655887216329575
A1_PBPK_only,midazolam,0.9219537016609064,0.0031889603012398
A2_GNN_only,midazolam,0.9220966404846606,0.0031860387332565
A5_Full_DLPBPK,midazolam,0.9199409009893096,0.0032298199077304
A3_hybrid_no_transfer,midazolam,0.9197239981250727,0.0032341922633349895
A4_hybrid_encoder_frozen,midazolam,0.9226326873656117,0.003175058402121067
A1_PBPK_only,caffeine,0.8701896219769865,0.4459424907195867
A2_GNN_only,caffeine,0.8682719720115801,0.4492243024974856
A5_Full_DLPBPK,caffeine,0.8707756516276923,0.4449347471790743
A3_hybrid_no_transfer,caffeine,0.7410557594497965,0.6690471768379211
A4_hybrid_encoder_frozen,caffeine,0.7475718636217643,0.6605755686759949
A1_PBPK_only,acetaminophen,0.9276165170118696,0.952040707087993
A2_GNN_only,acetaminophen,0.9275665056409916,0.9523695434299988
A5_Full_DLPBPK,acetaminophen,0.9288735703357398,0.9437376562322104
A3_hybrid_no_transfer,acetaminophen,0.8674608861779511,1.3292839527130127
A4_hybrid_encoder_frozen,acetaminophen,0.8736479007283724,1.2978873252868652
A1_PBPK_only,digoxin,0.7887428011956212,7.56197270527801e-05
A2_GNN_only,digoxin,0.5694529603804062,0.0001079542266785
A5_Full_DLPBPK,digoxin,0.7796332173646252,7.723291247241713e-05
A3_hybrid_no_transfer,digoxin,0.7654332887064776,7.968242425704375e-05
A4_hybrid_encoder_frozen,digoxin,0.7699862248018736,7.890531560406089e-05
