drug,covariate,mean_abs_shap_on_error,rank
theophylline,weight_kg,0.92237789,1
theophylline,dose_mg,0.00000000,5
theophylline,dose_mgkg,0.42035983,3
theophylline,age_years,0.20266615,4
theophylline,sex,0.65565119,2
warfarin,weight_kg,0.00257091,3
warfarin,dose_mg,0.00000000,5
warfarin,dose_mgkg,0.00287225,1
warfarin,age_years,0.00054251,4
warfarin,sex,0.00259921,2
midazolam,weight_kg,0.00000018,3
midazolam,dose_mg,0.00000000,5
midazolam,dose_mgkg,0.00000002,4
midazolam,age_years,0.00000024,2
midazolam,sex,0.00000070,1
caffeine,weight_kg,0.03335915,1
caffeine,dose_mg,0.00000000,5
caffeine,dose_mgkg,0.01762354,2
caffeine,age_years,0.00347696,4
caffeine,sex,0.00816309,3
acetaminophen,weight_kg,0.03739115,3
acetaminophen,dose_mg,0.00000000,6
acetaminophen,dose_mg_per_kg,0.02274834,5
acetaminophen,log_dose_mg_per_kg,0.04592310,1
acetaminophen,age_years,0.04041281,2
acetaminophen,sex,0.02699620,4
digoxin,weight_kg,0.00000000,3
digoxin,dose_mg,0.00000000,5
digoxin,dose_mgkg,0.00000000,1
digoxin,age_years,0.00000000,4
digoxin,sex,0.00000000,2
