drug,atom_index,atom_symbol,importance_score,rank
theophylline,0,C,0.01044512,5
theophylline,1,N,0.00734901,9
theophylline,2,C,0.00512266,14
theophylline,3,N,0.02759171,1
theophylline,4,C,0.00698519,11
theophylline,5,C,0.00733376,10
theophylline,6,C,0.00513792,13
theophylline,7,O,0.00763273,8
theophylline,8,N,0.02162361,2
theophylline,9,C,0.00459480,15
theophylline,10,O,0.00876760,6
theophylline,11,N,0.01088238,3
theophylline,12,C,0.01050854,4
theophylline,13,H,0.00116014,16
theophylline,14,H,0.00116014,17
theophylline,15,H,0.00116014,18
theophylline,16,H,0.00778627,7
theophylline,17,H,0.00595808,12
theophylline,18,H,0.00096226,20
theophylline,19,H,0.00096226,19
theophylline,20,H,0.00096130,21
warfarin,0,C,0.00055283,28
warfarin,1,C,0.00421524,4
warfarin,2,O,0.00536013,2
warfarin,3,C,0.00056863,25
warfarin,4,C,0.00099236,12
warfarin,5,C,0.00245184,5
warfarin,6,C,0.00048065,29
warfarin,7,C,0.00024557,36
warfarin,8,C,0.00021005,38
warfarin,9,C,0.00024557,35
warfarin,10,C,0.00048041,30
warfarin,11,C,0.00045705,31
warfarin,12,C,0.00478446,3
warfarin,13,O,0.02326894,1
warfarin,14,C,0.00088251,16
warfarin,15,C,0.00033748,34
warfarin,16,C,0.00023085,37
warfarin,17,C,0.00035805,33
warfarin,18,C,0.00063616,24
warfarin,19,C,0.00035959,32
warfarin,20,O,0.00216347,6
warfarin,21,C,0.00005656,39
warfarin,22,O,0.00067824,23
warfarin,23,H,0.00079596,19
warfarin,24,H,0.00079596,18
warfarin,25,H,0.00079596,17
warfarin,26,H,0.00055790,27
warfarin,27,H,0.00055790,26
warfarin,28,H,0.00093955,13
warfarin,29,H,0.00070989,21
warfarin,30,H,0.00092357,15
warfarin,31,H,0.00140542,7
warfarin,32,H,0.00092357,14
warfarin,33,H,0.00070989,22
warfarin,34,H,0.00130868,8
warfarin,35,H,0.00108004,11
warfarin,36,H,0.00077242,20
warfarin,37,H,0.00119662,9
warfarin,38,H,0.00108421,10
midazolam,0,Cl,0.00000154,32
midazolam,1,C,0.00000941,16
midazolam,2,C,0.00001064,15
midazolam,3,C,0.00001522,9
midazolam,4,C,0.00000286,25
midazolam,5,C,0.00001720,8
midazolam,6,C,0.00002350,6
midazolam,7,C,0.00003577,2
midazolam,8,C,0.00001500,10
midazolam,9,C,0.00001131,14
midazolam,10,C,0.00001454,11
midazolam,11,C,0.00003229,3
midazolam,12,N,0.00009351,1
midazolam,13,C,0.00002451,5
midazolam,14,F,0.00000185,29
midazolam,15,N,0.00000869,18
midazolam,16,C,0.00000668,19
midazolam,17,C,0.00000580,22
midazolam,18,O,0.00001320,13
midazolam,19,N,0.00002210,7
midazolam,20,C,0.00002485,4
midazolam,21,H,0.00000525,23
midazolam,22,H,0.00000490,24
midazolam,23,H,0.00000605,21
midazolam,24,H,0.00000884,17
midazolam,25,H,0.00000606,20
midazolam,26,H,0.00001430,12
midazolam,27,H,0.00000183,30
midazolam,28,H,0.00000183,31
midazolam,29,H,0.00000267,26
midazolam,30,H,0.00000267,28
midazolam,31,H,0.00000267,27
caffeine,0,C,0.00431991,6
caffeine,1,N,0.00162077,12
caffeine,2,C,0.00100636,18
caffeine,3,O,0.00462866,5
caffeine,4,C,0.00260091,10
caffeine,5,C,0.00521207,4
caffeine,6,N,0.00837779,1
caffeine,7,C,0.00598216,2
caffeine,8,N,0.00226879,11
caffeine,9,C,0.00524259,3
caffeine,10,N,0.00133920,14
caffeine,11,C,0.00431204,7
caffeine,12,C,0.00136876,13
caffeine,13,O,0.00426435,8
caffeine,14,H,0.00096989,22
caffeine,15,H,0.00096989,24
caffeine,16,H,0.00096989,23
caffeine,17,H,0.00275183,9
caffeine,18,H,0.00101566,17
caffeine,19,H,0.00101566,16
caffeine,20,H,0.00101566,15
caffeine,21,H,0.00097036,19
caffeine,22,H,0.00097036,21
caffeine,23,H,0.00097036,20
acetaminophen,0,C,0.00737000,19
acetaminophen,1,C,0.04554796,5
acetaminophen,2,O,0.03026676,9
acetaminophen,3,N,0.10833502,2
acetaminophen,4,C,0.00460196,20
acetaminophen,5,C,0.02283621,10
acetaminophen,6,C,0.01814127,13
acetaminophen,7,C,0.00808620,18
acetaminophen,8,O,0.16666555,1
acetaminophen,9,C,0.01814127,12
acetaminophen,10,C,0.02283621,11
acetaminophen,11,H,0.01722908,17
acetaminophen,12,H,0.01722908,15
acetaminophen,13,H,0.01722908,16
acetaminophen,14,H,0.03673220,8
acetaminophen,15,H,0.05094910,3
acetaminophen,16,H,0.04521465,6
acetaminophen,17,H,0.01779461,14
acetaminophen,18,H,0.04521465,7
acetaminophen,19,H,0.05094862,4
digoxin,0,O,0.00000043,18
digoxin,1,C,0.00000017,50
digoxin,2,O,0.00000057,15
digoxin,3,C,0.00000009,63
digoxin,4,C,0.00000034,25
digoxin,5,C,0.00000052,16
digoxin,6,C,0.00000028,40
digoxin,7,C,0.00000031,31
digoxin,8,C,0.00000034,26
digoxin,9,C,0.00000015,53
digoxin,10,O,0.00000017,52
digoxin,11,C,0.00000018,49
digoxin,12,C,0.00000029,39
digoxin,13,C,0.00000031,34
digoxin,14,C,0.00000027,42
digoxin,15,C,0.00000011,58
digoxin,16,C,0.00000037,24
digoxin,17,C,0.00000031,35
digoxin,18,C,0.00000032,29
digoxin,19,C,0.00000261,7
digoxin,20,O,0.00000017,51
digoxin,21,C,0.00000024,46
digoxin,22,C,0.00000120,8
digoxin,23,C,0.00000029,38
digoxin,24,C,0.00000031,33
digoxin,25,C,0.00000030,37
digoxin,26,C,0.00000028,41
digoxin,27,O,0.00000014,55
digoxin,28,C,0.00000299,5
digoxin,29,O,0.00000031,32
digoxin,30,C,0.00000045,17
digoxin,31,C,0.00000025,44
digoxin,32,O,0.00000014,54
digoxin,33,C,0.00000030,36
digoxin,34,O,0.00000033,28
digoxin,35,C,0.00000303,4
digoxin,36,O,0.00000042,20
digoxin,37,C,0.00000297,6
digoxin,38,C,0.00000042,21
digoxin,39,C,0.00000025,43
digoxin,40,O,0.00000013,57
digoxin,41,C,0.00000032,30
digoxin,42,C,0.00000033,27
digoxin,43,O,0.00000018,48
digoxin,44,C,0.00000085,10
digoxin,45,C,0.00000072,13
digoxin,46,C,0.00000105,9
digoxin,47,O,0.00000021,47
digoxin,48,O,0.00000039,23
digoxin,49,C,0.00000066,14
digoxin,50,C,0.00000041,22
digoxin,51,C,0.00000024,45
digoxin,52,O,0.00000013,56
digoxin,53,H,0.00000004,93
digoxin,54,H,0.00000004,94
digoxin,55,H,0.00000005,67
digoxin,56,H,0.00000005,68
digoxin,57,H,0.00000002,104
digoxin,58,H,0.00000004,91
digoxin,59,H,0.00000004,92
digoxin,60,H,0.00000004,77
digoxin,61,H,0.00000004,78
digoxin,62,H,0.00000008,64
digoxin,63,H,0.00000004,90
digoxin,64,H,0.00000004,89
digoxin,65,H,0.00000004,88
digoxin,66,H,0.00000004,87
digoxin,67,H,0.00000002,102
digoxin,68,H,0.00000002,107
digoxin,69,H,0.00000002,106
digoxin,70,H,0.00000002,105
digoxin,71,H,0.00000004,86
digoxin,72,H,0.00000004,85
digoxin,73,H,0.00000004,80
digoxin,74,H,0.00000004,79
digoxin,75,H,0.00000008,65
digoxin,76,H,0.00000043,19
digoxin,77,H,0.00000077,11
digoxin,78,H,0.00000077,12
digoxin,79,H,0.00000004,81
digoxin,80,H,0.00000004,82
digoxin,81,H,0.00000004,83
digoxin,82,H,0.00000004,84
digoxin,83,H,0.00000002,103
digoxin,84,H,0.00000003,99
digoxin,85,H,0.00000323,2
digoxin,86,H,0.00000004,69
digoxin,87,H,0.00000004,76
digoxin,88,H,0.00000009,62
digoxin,89,H,0.00000003,100
digoxin,90,H,0.00000003,101
digoxin,91,H,0.00000342,1
digoxin,92,H,0.00000322,3
digoxin,93,H,0.00000004,75
digoxin,94,H,0.00000004,74
digoxin,95,H,0.00000004,95
digoxin,96,H,0.00000009,60
digoxin,97,H,0.00000004,70
digoxin,98,H,0.00000004,71
digoxin,99,H,0.00000005,66
digoxin,100,H,0.00000010,59
digoxin,101,H,0.00000003,97
digoxin,102,H,0.00000003,98
digoxin,103,H,0.00000004,73
digoxin,104,H,0.00000004,72
digoxin,105,H,0.00000004,96
digoxin,106,H,0.00000009,61
